"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","原町","西小山",10,73000000,60,"","",100,"2014年","木造","","","東","公道",4.3,"１種住居",60,200,"2022年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","柿の木坂","都立大学",5,100000000,75,"","",140,"1996年","","","","南","公道",5.2,"１種住居",60,150,"2022年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","柿の木坂","都立大学",10,140000000,85,"","",135,"2003年","木造","","","北","私道",4,"１低住専",50,100,"2022年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","下目黒","目黒",15,70000000,55,"","",95,"2001年","木造","","","西","公道",4,"１中住専",60,160,"2022年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","下目黒","目黒",20,70000000,50,"","",75,"2007年","木造","","","西","私道",4,"１中住専",60,160,"2022年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","自由が丘","自由が丘(東京)",10,270000000,215,"","",205,"1996年","木造","","","西","公道",5,"１低住専",50,100,"2022年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","洗足","洗足",5,69000000,65,"","",95,"1991年","","","","北東","公道",4.1,"１低住専",60,150,"2022年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","鷹番","学芸大学",5,100000000,75,"","",105,"2014年","木造","","","北東","私道",3.8,"１低住専",60,150,"2022年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","原町","西小山",10,72000000,80,"","",95,"2002年","木造","","","西","公道",4.2,"１種住居",60,200,"2022年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","目黒本町","西小山",15,68000000,75,"","",75,"2021年","木造","","","東","私道",3.8,"１中住専",60,200,"2022年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","柿の木坂","都立大学",15,120000000,135,"","",130,"1989年","木造","","","北","公道",3.7,"１低住専",50,100,"2022年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","下目黒","不動前",10,140000000,75,"","",120,"2014年","鉄骨造","","","北東","私道",4,"近隣商業",80,240,"2022年第3四半期",""
